tenant_id,portal_id,tenant_name,tenant_type,is_dev,is_template,is_client
1,1,Корпоративный портал,DEV,True,False,False
2,2,Platform Template,TEMPLATE,False,True,False
21,21,ООО Розетка,CLIENT,False,False,True
25,25,ООО Тест ded4a0f8,CLIENT,False,False,True
26,26,ООО Тест fc0132a0,CLIENT,False,False,True
27,27,ООО Тест 9b4d77d3,CLIENT,False,False,True
28,28,ООО Тест d5b0b0b5,CLIENT,False,False,True
29,29,ООО Тест 007ae8a5,CLIENT,False,False,True
30,30,ООО Тест bf8ebcf6,CLIENT,False,False,True
31,31,ООО Тест 9ab81014,CLIENT,False,False,True
32,32,ООО Тест 58331de2,CLIENT,False,False,True
33,33,ООО Тест d415e37f,CLIENT,False,False,True
34,34,ООО Тест 18400ae1,CLIENT,False,False,True
35,35,ООО Тест 0cfe436e,CLIENT,False,False,True
36,36,ООО Тест ce0ed489,CLIENT,False,False,True
37,37,ООО Тест a76cb3ad,CLIENT,False,False,True
38,38,ООО Тест bb6ce141,CLIENT,False,False,True
39,39,ООО Тест 2ef02d08,CLIENT,False,False,True
40,40,ООО Тест 18bf8a61,CLIENT,False,False,True
41,41,ООО Тест da6e36cf,CLIENT,False,False,True
42,42,ООО Тест b119355b,CLIENT,False,False,True
59,59,Test DEV 1e6e093f,DEV,True,False,False
60,60,Test DEV 750a9c1a,DEV,True,False,False
61,61,Test DEV 2570e3f8,DEV,True,False,False
64,64,Test DEV 366bde7c,DEV,True,False,False
66,66,Test DEV ec3c0306,DEV,True,False,False
68,68,Test DEV 5c014154,DEV,True,False,False
69,69,Test CLIENT 493c5953,CLIENT,False,False,True
70,70,Test DEV c63ca07f,DEV,True,False,False
71,71,Test DEV f5d19d41,DEV,True,False,False
72,72,Test DEV b365f991,DEV,True,False,False
75,75,Test DEV 35cf12ae,DEV,True,False,False
77,77,Test DEV bfb0e53d,DEV,True,False,False
78,78,Test CLIENT 9efc9ab2,CLIENT,False,False,True
79,79,Test DEV b877bcb1,DEV,True,False,False
81,81,Test DEV ce84d678,DEV,True,False,False
82,82,Test DEV f0de3e26,DEV,True,False,False
83,83,Test DEV c1a6141a,DEV,True,False,False
86,86,Test DEV 5c255116,DEV,True,False,False
88,88,Test DEV fdd94298,DEV,True,False,False
90,90,Test DEV 62710120,DEV,True,False,False
92,92,Test DEV b9d3b7d2,DEV,True,False,False
93,93,Test DEV d04ab695,DEV,True,False,False
94,94,Test DEV a7ad8d70,DEV,True,False,False
95,95,Test DEV 03210937,DEV,True,False,False
96,96,Test DEV 6f96bd4f,DEV,True,False,False
97,97,Test DEV 2f5e7f9d,DEV,True,False,False
98,98,Test DEV 77eecf4b,DEV,True,False,False
99,99,Test DEV 0cee3838,DEV,True,False,False
100,100,Test DEV 782e13be,DEV,True,False,False
102,102,Test DEV 2a06969a,DEV,True,False,False
104,104,Test DEV 148e055a,DEV,True,False,False
105,105,Test DEV 56ff2e36,DEV,True,False,False
106,106,Test DEV 08cf8758,DEV,True,False,False
107,107,Test DEV fb1a4e30,DEV,True,False,False
108,108,Test DEV 9cd4b8d8,DEV,True,False,False
109,109,Test DEV 6fae10c5,DEV,True,False,False
110,110,Test DEV eed083d5,DEV,True,False,False
111,111,Test DEV 8eaaf896,DEV,True,False,False
112,112,Test DEV 61d32f08,DEV,True,False,False
113,113,Test DEV b74be9dd,DEV,True,False,False
115,115,Test DEV 13236273,DEV,True,False,False
117,117,Test DEV a0c7f4a0,DEV,True,False,False
901,901,Tenant A d22ad23d,CLIENT,False,False,True
902,902,Tenant B ca1fb256,CLIENT,False,False,True
903,903,Tenant A fdb55bac,CLIENT,False,False,True
904,904,Tenant B 6ffde3cb,CLIENT,False,False,True
905,905,Tenant A a9369dcf,CLIENT,False,False,True
906,906,Tenant B 0aca9989,CLIENT,False,False,True
907,907,Tenant A 041d1509,CLIENT,False,False,True
908,908,Tenant B 7f63d772,CLIENT,False,False,True
909,909,Tenant A 2da5b3c5,CLIENT,False,False,True
910,910,Tenant B 359091dc,CLIENT,False,False,True
911,911,Tenant A ac60437f,CLIENT,False,False,True
912,912,Tenant B 229324be,CLIENT,False,False,True
913,913,Tenant A 6ff6908e,CLIENT,False,False,True
914,914,Tenant B 6fc81b42,CLIENT,False,False,True
915,915,Tenant A ef3ee9c0,CLIENT,False,False,True
916,916,Tenant B 9d0f8ef3,CLIENT,False,False,True
9201,9201,Runtime ISO A bde401c2,CLIENT,False,False,True
9202,9202,Runtime ISO B 0ffb57fa,CLIENT,False,False,True
9203,9203,Runtime ISO A fb800b1e,CLIENT,False,False,True
9204,9204,Runtime ISO B 236657cf,CLIENT,False,False,True
9205,9205,Runtime ISO A 747d344c,CLIENT,False,False,True
9206,9206,Runtime ISO B d56d758e,CLIENT,False,False,True
9207,9207,Runtime ISO A a051e2fc,CLIENT,False,False,True
9208,9208,Runtime ISO B e417f187,CLIENT,False,False,True
9301,9301,YASII ISO A 5ee3e522,CLIENT,False,False,True
9302,9302,YASII ISO B f3ba27c6,CLIENT,False,False,True
9303,9303,YASII ISO A e6f966f5,CLIENT,False,False,True
9304,9304,YASII ISO B cfed27d9,CLIENT,False,False,True
9305,9305,YASII ISO A d24e248d,CLIENT,False,False,True
9306,9306,YASII ISO B 1cc8e815,CLIENT,False,False,True
9307,9307,YASII ISO A 5a44d0d1,CLIENT,False,False,True
9308,9308,YASII ISO B e0c1e187,CLIENT,False,False,True
9309,9309,YASII ISO A b7a92fcd,CLIENT,False,False,True
9310,9310,YASII ISO B 386acd7f,CLIENT,False,False,True
9311,9311,YASII ISO A 2f224ee5,CLIENT,False,False,True
9312,9312,YASII ISO B 80a11306,CLIENT,False,False,True
9313,9313,YASII ISO A d57c969c,CLIENT,False,False,True
9314,9314,YASII ISO B d3a18a62,CLIENT,False,False,True
9401,9401,Workspace Tabs ISO A c8944b2a,CLIENT,False,False,True
9402,9402,Workspace Tabs ISO B 2d4d3d87,CLIENT,False,False,True
9403,9403,Workspace Tabs ISO A de44f6ad,CLIENT,False,False,True
9404,9404,Workspace Tabs ISO B 64fddd63,CLIENT,False,False,True
9405,9405,Workspace Tabs ISO A 12d87e78,CLIENT,False,False,True
9406,9406,Workspace Tabs ISO B a28a939a,CLIENT,False,False,True
9407,9407,Workspace Tabs ISO A 1cad51c7,CLIENT,False,False,True
9408,9408,Workspace Tabs ISO B 003c207d,CLIENT,False,False,True
9409,9409,Workspace Tabs ISO A b77f88e4,CLIENT,False,False,True
9410,9410,Workspace Tabs ISO B 858c4acc,CLIENT,False,False,True
9411,9411,Workspace Tabs ISO A ce828a55,CLIENT,False,False,True
9412,9412,Workspace Tabs ISO B 864c1e50,CLIENT,False,False,True
9413,9413,Workspace Tabs ISO A 320f464a,CLIENT,False,False,True
9414,9414,Workspace Tabs ISO B d8a1f699,CLIENT,False,False,True
9415,9415,Workspace Tabs ISO A 7adf2427,CLIENT,False,False,True
9416,9416,Workspace Tabs ISO B 86eb95de,CLIENT,False,False,True
9417,9417,Workspace Tabs ISO A 2207e9d6,CLIENT,False,False,True
9418,9418,Workspace Tabs ISO B 316fd019,CLIENT,False,False,True
9419,9419,Workspace Tabs ISO A 8c0a87ca,CLIENT,False,False,True
9420,9420,Workspace Tabs ISO B b5bd8d6c,CLIENT,False,False,True
9421,9421,Workspace Tabs ISO A d7c41872,CLIENT,False,False,True
9422,9422,Workspace Tabs ISO B a3b40ab1,CLIENT,False,False,True
9423,9423,Workspace Tabs ISO A 84eb2b8d,CLIENT,False,False,True
9424,9424,Workspace Tabs ISO B 3a1b34cc,CLIENT,False,False,True
9425,9425,Workspace Tabs ISO A 5ae22d8f,CLIENT,False,False,True
9426,9426,Workspace Tabs ISO B 8169444e,CLIENT,False,False,True
9501,9501,DocLib ISO A 604a2e9c,CLIENT,False,False,True
9502,9502,DocLib ISO B 44967091,CLIENT,False,False,True
9503,9503,DocLib ISO A 88b1af89,CLIENT,False,False,True
9504,9504,DocLib ISO B 745256bc,CLIENT,False,False,True
9505,9505,DocLib ISO A 0d1ae401,CLIENT,False,False,True
9506,9506,DocLib ISO B 5ac807f7,CLIENT,False,False,True
9507,9507,DocLib ISO A 4ee51e17,CLIENT,False,False,True
9508,9508,DocLib ISO B 941d37da,CLIENT,False,False,True
9509,9509,DocLib ISO A e3f8261b,CLIENT,False,False,True
9510,9510,DocLib ISO B d3fb2620,CLIENT,False,False,True
9511,9511,DocLib ISO A cda411cf,CLIENT,False,False,True
9512,9512,DocLib ISO B c66d83df,CLIENT,False,False,True
9513,9513,DocLib ISO A 68ab0874,CLIENT,False,False,True
9514,9514,DocLib ISO B 541805ae,CLIENT,False,False,True
9515,9515,DocLib ISO A 4641a08c,CLIENT,False,False,True
9516,9516,DocLib ISO B 6490bd6c,CLIENT,False,False,True
9517,9517,DocLib ISO A 32246cf5,CLIENT,False,False,True
9518,9518,DocLib ISO B 1613d6b1,CLIENT,False,False,True
9521,9521,OrphanDoc ISO A fbf90d4f,CLIENT,False,False,True
9522,9522,OrphanDoc ISO B e297053d,CLIENT,False,False,True
9523,9523,OrphanDoc ISO A 0c865dd6,CLIENT,False,False,True
9524,9524,OrphanDoc ISO B 786ba862,CLIENT,False,False,True
9525,9525,OrphanDoc ISO A 3d3e8487,CLIENT,False,False,True
9526,9526,OrphanDoc ISO B 7032d77d,CLIENT,False,False,True
9527,9527,OrphanDoc ISO A bd105b98,CLIENT,False,False,True
9528,9528,OrphanDoc ISO B e1a4045f,CLIENT,False,False,True
9529,9529,OrphanDoc ISO A b70b385d,CLIENT,False,False,True
9530,9530,OrphanDoc ISO B 76d0cb8b,CLIENT,False,False,True
9531,9531,Comments ISO A 26fa0c56,CLIENT,False,False,True
9532,9532,Comments ISO B 1c09e8b4,CLIENT,False,False,True
9533,9533,Comments ISO A e614ceab,CLIENT,False,False,True
9534,9534,Comments ISO B aa54e4df,CLIENT,False,False,True
9535,9535,Comments ISO A 32d3410e,CLIENT,False,False,True
9536,9536,Comments ISO B be1da97c,CLIENT,False,False,True
